( 0 , 'there are such a large amount of')
( 15881 , 'sincere')
( 15881 , 'straightforward')
( 15882 , 'party')
( 15882 , 'celebration')
( 15882 , 'get together')
( 15882 , 'social gathering')
( 15882 , 'occasion')
( 15883 , 'try')
( 15883 , 'attempt')
( 15884 , 'newborn')
( 15884 , 'new child')
( 15885 , 'ideas')
( 15885 , 'suggestions')
( 15885 , 'concepts')
( 15885 , 'thoughts')
( 15885 , 'strategies')
( 15885 , 'options')
( 15885 , 'recommendations')
( 15885 , 'techniques')
( 15885 , 'innovations')
( 15886 , 'temporary')
( 15886 , 'short-term')
( 15886 , 'momentary')
( 15886 , 'non permanent')
( 15887 , 'taste')
( 15887 , 'style')
( 15887 , 'flavor')
( 15888 , 'training')
( 15888 , 'education')
( 15888 , 'coaching')
( 15889 , 'signals')
( 15889 , 'alerts')
( 15889 , 'indicators')
( 15890 , 'plenty')
( 15890 , 'lots')
( 15890 , 'a lot')
( 15890 , 'loads')
( 15891 , 'facts')
( 15891 , 'details')
( 15891 , 'information')
( 15891 , 'info')
( 15892 , 'project')
( 15892 , 'venture')
( 15892 , 'challenge')
( 15892 , 'undertaking')
( 15892 , 'mission')
( 15893 , 'normal')
( 15893 , 'common')
( 15893 , 'ordinary')
( 15893 , 'usual')
( 15893 , 'typical')
( 15894 , 'responsibilities')
( 15894 , 'duties')
( 15894 , 'obligations')
( 15894 , 'tasks')
( 15895 , 'effective')
( 15895 , 'efficient')
( 15895 , 'useful')
( 15895 , 'successful')
( 15895 , 'valuable')
( 15895 , 'helpful')
( 15895 , 'effectual')
( 15895 , 'powerful')
( 15896 , 'practicing')
( 15896 , 'training')
( 15896 , 'working towards')
( 15896 , 'practising')
( 15897 , 'realistic')
( 15897 , 'practical')
( 15897 , 'sensible')
( 15897 , 'reasonable')
( 15897 , 'real looking')
( 15897 , 'lifelike')
( 15897 , 'life like')
( 15898 , 'can''t')
( 15898 , 'can not')
( 15898 , 'cannot')
( 15898 , 'won''t be able to')
( 15899 , 'opportunities')
( 15899 , 'chances')
( 15899 , 'possibilities')
( 15900 , 'furniture')
( 15900 , 'furnishings')
( 15900 , 'fixtures')
( 15901 , 'homeowner')
( 15901 , 'home owner')
( 15901 , 'house owner')
( 15901 , 'property owner')
( 15901 , 'owner of a house')
( 15902 , 'style')
( 15902 , 'type')
( 15903 , 'edition')
( 15903 , 'version')
( 15904 , 'pick')
( 15904 , 'choose')
( 15904 , 'select')
( 15904 , 'opt for')
( 15904 , 'elect')
( 15904 , 'go with')
( 15904 , 'decide on')
( 15905 , 'workout')
( 15905 , 'exercise routine')
( 15905 , 'exercise session')
( 15905 , 'work out')
( 15906 , 'combination')
( 15906 , 'mixture')
( 15906 , 'blend')
( 15906 , 'mix')
( 15907 , 'babies')
( 15907 , 'infants')
( 15908 , 'perfect')
( 15908 , 'ideal')
( 15908 , 'best')
( 15908 , 'just right')
( 15908 , 'ultimate')
( 15908 , 'superb')
( 15908 , 'terrific')
( 15908 , 'most suitable')
( 15909 , 'factors')
( 15909 , 'elements')
( 15909 , 'components')
( 15909 , 'aspects')
( 15910 , 'length')
( 15910 , 'size')
( 15911 , 'condition')
( 15911 , 'situation')
( 15911 , 'circumstance')
( 15912 , 'complete')
( 15912 , 'comprehensive')
( 15912 , 'finished')
( 15913 , 'rating')
( 15913 , 'score')
( 15913 , 'ranking')
( 15914 , 'accidental')
( 15914 , 'unintentional')
( 15914 , 'unintended')
( 15915 , 'kind')
( 15915 , 'type')
( 15915 , 'sort')
( 15915 , 'variety')
( 15915 , 'form')
( 15915 , 'style')
( 15915 , 'model')
( 15916 , 'rapid')
( 15916 , 'quick')
( 15916 , 'speedy')
( 15917 , 'pregnancy')
( 15917 , 'being pregnant')
( 15918 , 'computer')
( 15918 , 'pc')
( 15918 , 'laptop')
( 15918 , 'notebook')
( 15918 , 'workstation')
( 15918 , 'computing device')
( 15919 , 'eating')
( 15919 , 'consuming')
( 15919 , 'ingesting')
( 15920 , 'impressive')
( 15920 , 'amazing')
( 15921 , 'practical')
( 15921 , 'functional')
( 15921 , 'useful')
( 15921 , 'sensible')
( 15922 , 'company')
( 15922 , 'organization')
( 15922 , 'corporation')
( 15922 , 'enterprise')
( 15922 , 'employer')
( 15922 , 'agency')
( 15922 , 'organisation')
( 15922 , 'business enterprise')
( 15923 , 'instructor')
( 15923 , 'teacher')
( 15924 , 'profit')
( 15924 , 'income')
( 15924 , 'earnings')
( 15925 , 'available')
( 15925 , 'accessible')
( 15925 , 'obtainable')
( 15925 , 'attainable')
( 15926 , 'conditions')
( 15926 , 'circumstances')
( 15926 , 'situations')
( 15927 , 'world wide web')
( 15927 , 'world-wide-web')
( 15928 , 'while')
( 15928 , 'whilst')
( 15928 , 'when')
( 15929 , 'changes')
( 15929 , 'modifications')
( 15929 , 'alterations')
( 15929 , 'adjustments')
( 15929 , 'variations')
( 15929 , 'differences')
( 15929 , 'ameliorations')
( 15929 , 'transformations')
( 15930 , 'responsibility')
( 15930 , 'duty')
( 15930 , 'accountability')
( 15931 , 'objectives')
( 15931 , 'aims')
( 15931 , 'goals')
( 15931 , 'targets')
( 15932 , 'ordinary')
( 15932 , 'regular')
( 15933 , 'decide')
( 15933 , 'choose')
( 15933 , 'determine')
( 15934 , 'events')
( 15934 , 'occasions')
( 15934 , 'activities')
( 15935 , 'mystery')
( 15935 , 'secret')
( 15936 , 'stressful')
( 15936 , 'annoying')
( 15936 , 'tense')
( 15936 , 'demanding')
( 15937 , 'said')
( 15937 , 'stated')
( 15937 , 'mentioned')
( 15937 , 'pronounced')
( 15937 , 'reported')
( 15937 , 'suggested')
( 15938 , 'truly')
( 15938 , 'genuinely')
( 15938 , 'absolutely')
( 15938 , 'certainly')
( 15938 , 'really')
( 15938 , 'definitely')
( 15938 , 'actual')
( 15938 , 'surely')
( 15938 , 'honestly')
( 15938 , 'easily')
( 15938 , 'truthfully')
( 15938 , 'unquestionably')
( 15938 , 'actually')
( 15939 , 'table')
( 15939 , 'desk')
( 15940 , 'goal')
( 15940 , 'objective')
( 15940 , 'purpose')
( 15941 , 'original')
( 15941 , 'unique')
( 15942 , 'common')
( 15942 , 'widespread')
( 15942 , 'frequent')
( 15942 , 'typical')
( 15942 , 'popular')
( 15942 , 'normal')
( 15942 , 'prevalent')
( 15942 , 'everyday')
( 15942 , 'standard')
( 15942 , 'usual')
( 15942 , 'general')
( 15942 , 'familiar')
( 15942 , 'well-known')
( 15942 , 'universal')
( 15942 , 'commonplace')
( 15942 , 'regular')
( 15942 , 'regularly occurring')
( 15942 , 'time-honored')
( 15942 , 'primary')
( 15942 , 'customary')
( 15942 , 'established')
( 15942 , 'known')
( 15942 , 'conventional')
( 15942 , 'wide-spread')
( 15942 , 'favourite')
( 15942 , 'generic')
( 15942 , 'widely used')
( 15942 , 'accepted')
( 15942 , 'commonly used')
( 15942 , 'ordinary')
( 15943 , 'everything')
( 15943 , 'every thing')
( 15943 , 'every little thing')
( 15944 , 'modern')
( 15944 , 'contemporary')
( 15944 , 'modern-day')
( 15944 , 'current')
( 15944 , 'present day')
( 15944 , 'cutting-edge')
( 15945 , 'suitable')
( 15945 , 'appropriate')
( 15945 , 'ideal')
( 15945 , 'perfect')
( 15945 , 'desirable')
( 15945 , 'suited')
( 15945 , 'acceptable')
( 15945 , 'proper')
( 15945 , 'applicable')
( 15946 , 'keeping')
( 15946 , 'maintaining')
( 15946 , 'preserving')
( 15946 , 'retaining')
( 15946 , 'holding')
( 15946 , 'protecting')
( 15946 , 'conserving')
( 15947 , 'connect')
( 15947 , 'join')
( 15948 , 'different')
( 15948 , 'diverse')
( 15948 , 'distinct')
( 15948 , 'distinctive')
( 15949 , 'financial')
( 15949 , 'monetary')
( 15949 , 'economic')
( 15950 , 'night')
( 15950 , 'evening')
( 15950 , 'nighttime')
( 15951 , 'fabrics')
( 15951 , 'fabric')
( 15952 , 'gas')
( 15952 , 'fuel')
( 15952 , 'gasoline')
( 15953 , 'focused')
( 15953 , 'targeted')
( 15953 , 'concentrated')
( 15953 , 'centred')
( 15954 , 'amazing')
( 15954 , 'wonderful')
( 15954 , 'awesome')
( 15954 , 'incredible')
( 15954 , 'marvelous')
( 15954 , 'superb')
( 15954 , 'fantastic')
( 15954 , 'remarkable')
( 15954 , 'astounding')
( 15954 , 'spectacular')
( 15954 , 'stunning')
( 15954 , 'magnificent')
( 15954 , 'astonishing')
( 15954 , 'brilliant')
( 15954 , 'mind-blowing')
( 15954 , 'impressive')
( 15954 , 'staggering')
( 15954 , 'surprising')
( 15954 , 'outstanding')
( 15954 , 'extraordinary')
( 15954 , 'dazzling')
( 15954 , 'excellent')
( 15954 , 'striking')
( 15954 , 'unbelievable')
( 15954 , 'miraculous')
( 15954 , 'fabulous')
( 15955 , 'era')
( 15955 , 'period')
( 15956 , 'ensure')
( 15956 , 'make sure')
( 15956 , 'make certain')
( 15956 , 'be sure')
( 15956 , 'be certain')
( 15956 , 'confirm')
( 15956 , 'verify')
( 15956 , 'ascertain')
( 15956 , 'determine')
( 15957 , 'systems')
( 15957 , 'platforms')
( 15957 , 'structures')
( 15958 , 'vacation')
( 15958 , 'trip')
( 15958 , 'holiday')
( 15959 , 'outside')
( 15959 , 'outdoors')
( 15959 , 'exterior')
( 15960 , 'simple')
( 15960 , 'easy')
( 15960 , 'uncomplicated')
( 15960 , 'basic')
( 15960 , 'straightforward')
( 15960 , 'hassle-free')
( 15960 , 'ordinary')
( 15960 , 'common')
( 15960 , 'elementary')
( 15960 , 'user-friendly')
( 15960 , 'straight forward')
( 15960 , 'undemanding')
( 15960 , 'effortless')
( 15960 , 'trouble-free')
( 15961 , 'fact')
( 15961 , 'truth')
( 15961 , 'reality')
( 15961 , 'actuality')
( 15961 , 'certainty')
( 15962 , 'action')
( 15962 , 'motion')
( 15963 , 'among')
( 15963 , 'amongst')
( 15964 , 'observed')
( 15964 , 'noticed')
( 15965 , 'gradually')
( 15965 , 'progressively')
( 15965 , 'steadily')
( 15966 , 'score')
( 15966 , 'rating')
( 15967 , 'training')
( 15967 , 'education')
( 15967 , 'coaching')
( 15967 , 'instruction')
( 15967 , 'preparation')
( 15967 , 'guidance')
( 15967 , 'practise')
( 15968 , 'searching')
( 15968 , 'looking')
( 15969 , 'frightening')
( 15969 , 'scary')
( 15970 , 'formula')
( 15970 , 'formulation')
( 15971 , 'extended')
( 15971 , 'prolonged')
( 15972 , 'data')
( 15972 , 'information')
( 15973 , 'decision')
( 15973 , 'choice')
( 15973 , 'selection')
( 15973 , 'determination')
( 15974 , 'significant')
( 15974 , 'substantial')
( 15974 , 'considerable')
( 15974 , 'important')
( 15974 , 'major')
( 15975 , 'extreme')
( 15975 , 'excessive')
( 15975 , 'intense')
( 15975 , 'severe')
( 15976 , 'parents')
( 15976 , 'mom and dad')
( 15976 , 'father and mother')
( 15976 , 'dad and mom')
( 15976 , 'mother and father')
( 15976 , 'mum and dad')
( 15976 , 'moms and dads')
( 15976 , 'mothers and fathers')
( 15977 , 'active')
( 15977 , 'lively')
( 15977 , 'energetic')
( 15978 , 'wise')
( 15978 , 'sensible')
( 15978 , 'clever')
( 15978 , 'smart')
( 15979 , 'update')
( 15979 , 'replace')
( 15980 , 'quite')
( 15980 , 'really')
( 15980 , 'rather')
( 15980 , 'fairly')
( 15980 , 'extremely')
( 15980 , 'particularly')
( 15980 , 'incredibly')
( 15980 , 'truly')
( 15980 , 'somewhat')
( 15980 , 'relatively')
( 15981 , 'amazing')
( 15981 , 'wonderful')
( 15981 , 'incredible')
( 15981 , 'awesome')
( 15981 , 'marvelous')
( 15981 , 'remarkable')
( 15981 , 'astounding')
( 15981 , 'fantastic')
( 15981 , 'superb')
( 15981 , 'magnificent')
( 15981 , 'astonishing')
( 15981 , 'stunning')
( 15981 , 'spectacular')
( 15981 , 'impressive')
( 15981 , 'mind-blowing')
( 15981 , 'brilliant')
( 15981 , 'dazzling')
( 15981 , 'extraordinary')
( 15981 , 'surprising')
( 15981 , 'staggering')
( 15981 , 'outstanding')
( 15982 , 'should')
( 15982 , 'ought to')
( 15982 , 'could')
( 15982 , 'may want to')
( 15983 , 'reports')
( 15983 , 'reviews')
( 15983 , 'stories')
( 15983 , 'studies')
( 15983 , 'experiences')
( 15984 , 'courses')
( 15984 , 'guides')
( 15984 , 'publications')
( 15985 , 'anyone')
( 15985 , 'anybody')
( 15985 , 'any person')
( 15985 , 'someone')
( 15985 , 'any one')
( 15985 , 'any individual')
( 15986 , 'experts')
( 15986 , 'specialists')
( 15986 , 'professionals')
( 15986 , 'gurus')
( 15986 , 'authorities')
( 15987 , 'family')
( 15987 , 'household')
( 15987 , 'loved ones')
( 15988 , 'pain')
( 15988 , 'discomfort')
( 15988 , 'soreness')
( 15988 , 'agony')
( 15988 , 'ache')
( 15988 , 'affliction')
( 15988 , 'anguish')
( 15988 , 'suffering')
( 15989 , 'illness')
( 15989 , 'sickness')
( 15989 , 'health problem')
( 15989 , 'ailment')
( 15990 , 'certainly')
( 15990 , 'surely')
( 15990 , 'definitely')
( 15990 , 'absolutely')
( 15990 , 'undoubtedly')
( 15990 , 'obviously')
( 15990 , 'most likely')
( 15990 , 'without doubt')
( 15991 , 'motion')
( 15991 , 'movement')
( 15992 , 'involves')
( 15992 , 'includes')
( 15992 , 'entails')
( 15993 , 'entire')
( 15993 , 'complete')
( 15993 , 'whole')
( 15994 , 'friend')
( 15994 , 'pal')
( 15994 , 'buddy')
( 15995 , 'compare')
( 15995 , 'examine')
( 15995 , 'evaluate')
( 15996 , 'ways')
( 15996 , 'methods')
( 15996 , 'approaches')
( 15997 , 'middle')
( 15997 , 'center')
( 15998 , 'bought')
( 15998 , 'purchased')
( 15999 , 'units')
( 15999 , 'items')
( 16000 , 'arrangement')
( 16000 , 'association')
( 16001 , 'component')
( 16001 , 'part')
( 16002 , 'population')
( 16002 , 'populace')
( 16003 , 'previous')
( 16003 , 'earlier')
( 16003 , 'prior')
( 16004 , 'bought')
( 16004 , 'purchased')
( 16005 , 'choose')
( 16005 , 'select')
( 16005 , 'pick')
( 16005 , 'decide on')
( 16005 , 'opt for')
( 16005 , 'prefer')
( 16005 , 'decide upon')
( 16006 , 'anything')
( 16006 , 'something')
( 16006 , 'whatever')
( 16006 , 'some thing')
( 16007 , 'choice')
( 16007 , 'option')
( 16007 , 'alternative')
( 16008 , 'force')
( 16008 , 'drive')
( 16009 , 'relief')
( 16009 , 'comfort')
( 16009 , 'remedy')
( 16009 , 'alleviation')
( 16010 , 'another')
( 16010 , 'an additional')
( 16010 , 'yet another')
( 16010 , 'one more')
( 16010 , 'a different')
( 16010 , 'a further')
( 16010 , 'an extra')
( 16010 , 'one other')
( 16011 , 'buyer')
( 16011 , 'purchaser')
( 16011 , 'customer')
( 16012 , 'therefore')
( 16012 , 'consequently')
( 16012 , 'as a result')
( 16012 , 'thus')
( 16012 , 'for that reason')
( 16012 , 'hence')
( 16012 , 'accordingly')
( 16012 , 'for this reason')
( 16012 , 'as a consequence')
( 16013 , 'try')
( 16013 , 'attempt')
( 16014 , 'forms')
( 16014 , 'types')
( 16014 , 'varieties')
( 16015 , 'buying')
( 16015 , 'purchasing')
( 16015 , 'procuring')
( 16015 , 'paying for')
( 16015 , 'deciding to buy')
( 16016 , 'school')
( 16016 , 'college')
( 16016 , 'institution')
( 16016 , 'university')
( 16017 , 'confirm')
( 16017 , 'affirm')
( 16017 , 'verify')
( 16018 , 'instances')
( 16018 , 'situations')
( 16018 , 'circumstances')
( 16018 , 'occasions')
( 16019 , 'phone')
( 16019 , 'telephone')
( 16019 , 'cellphone')
( 16020 , 'hello')
( 16020 , 'howdy')
( 16020 , 'hiya')
( 16020 , 'hey')
( 16020 , 'whats up')
( 16020 , 'good day')
( 16020 , 'hi there')
( 16021 , 'specific')
( 16021 , 'particular')
( 16021 , 'certain')
( 16021 , 'precise')
( 16021 , 'unique')
( 16021 , 'distinct')
( 16021 , 'exact')
( 16021 , 'special')
( 16021 , 'specified')
( 16021 , 'targeted')
( 16021 , 'detailed')
( 16021 , 'designated')
( 16021 , 'distinctive')
( 16022 , 'country')
( 16022 , 'nation')
( 16023 , 'beginners')
( 16023 , 'newbies')
( 16023 , 'novices')
( 16023 , 'rookies')
( 16023 , 'newcomers')
( 16023 , 'learners')
( 16023 , 'freshmen')
( 16023 , 'inexperienced persons')
( 16024 , 'looking')
( 16024 , 'watching')
( 16025 , 'shoes')
( 16025 , 'footwear')
( 16025 , 'sneakers')
( 16026 , 'abilities')
( 16026 , 'skills')
( 16026 , 'expertise')
( 16026 , 'advantage')
( 16026 , 'knowledge')
( 16026 , 'potential')
( 16026 , 'competencies')
( 16026 , 'talents')
( 16026 , 'capabilities')
( 16027 , 'anxiety')
( 16027 , 'nervousness')
( 16027 , 'anxiousness')
( 16028 , 'organization')
( 16028 , 'institution')
( 16028 , 'group')
( 16029 , 'warranty')
( 16029 , 'guarantee')
( 16029 , 'assurance')
( 16030 , 'got')
( 16030 , 'received')
( 16030 , 'obtained')
( 16030 , 'acquired')
( 16030 , 'bought')
( 16031 , 'effectively')
( 16031 , 'successfully')
( 16032 , 'company')
( 16032 , 'organization')
( 16032 , 'corporation')
( 16032 , 'enterprise')
( 16032 , 'manufacturer ')
( 16033 , 'overnight')
( 16033 , 'in a single day')
( 16034 , 'cleansing')
( 16034 , 'cleaning')
( 16035 , 'department')
( 16035 , 'division')
( 16036 , 'because')
( 16036 , 'since')
( 16036 , 'due to the fact')
( 16036 , 'for the reason that')
( 16036 , 'on the grounds that')
( 16036 , 'considering')
( 16036 , 'due to the fact that')
( 16036 , 'seeing that')
( 16036 , 'considering the fact that')
( 16036 , 'on account that')
( 16036 , 'given that')
( 16036 , 'in view that')
( 16036 , 'when you consider that')
( 16036 , 'considering that')
( 16037 , 'perception')
( 16037 , 'belief')
( 16037 , 'notion')
( 16038 , 'keep')
( 16038 , 'maintain')
( 16038 , 'hold')
( 16038 , 'preserve')
( 16039 , 'valuable')
( 16039 , 'useful')
( 16039 , 'priceless')
( 16040 , 'cannot')
( 16040 , 'can''t')
( 16040 , 'can not')
( 16040 , 'are not able to')
( 16041 , 'erroneous')
( 16041 , 'faulty')
( 16041 , 'misguided')
( 16041 , 'inaccurate')
( 16042 , 'nevertheless')
( 16042 , 'however')
( 16042 , 'nonetheless')
( 16043 , 'extend')
( 16043 , 'lengthen')
( 16043 , 'prolong')
( 16044 , 'though')
( 16044 , 'although')
( 16045 , 'international')
( 16045 , 'worldwide')
( 16045 , 'global')
( 16046 , 'can''t')
( 16046 , 'cannot')
( 16046 , 'can not')
( 16047 , 'concentration')
( 16047 , 'attention')
( 16047 , 'awareness')
( 16048 , 'announced')
( 16048 , 'introduced')
( 16049 , 'built')
( 16049 , 'constructed')
( 16049 , 'developed')
( 16050 , 'quit')
( 16050 , 'give up')
( 16050 , 'stop')
( 16051 , 'cash')
( 16051 , 'money')
( 16051 , 'funds')
( 16052 , 'road')
( 16052 , 'street')
( 16052 , 'highway')
( 16053 , 'effect')
( 16053 , 'impact')
( 16054 , 'competitors')
( 16054 , 'rivals')
( 16054 , 'opponents')
( 16055 , 'square')
( 16055 , 'rectangular')
( 16056 , 'pressure')
( 16056 , 'strain')
( 16056 , 'stress')
( 16057 , 'receive')
( 16057 , 'obtain')
( 16057 , 'acquire')
( 16058 , 'speaking')
( 16058 , 'talking')
( 16059 , 'able')
( 16059 , 'capable')
( 16059 , 'in a position')
( 16059 , 'competent')
( 16059 , 'ready')
( 16059 , 'equipped')
( 16060 , 'disorders')
( 16060 , 'issues')
( 16060 , 'problems')
( 16061 , 'lawn')
( 16061 , 'garden')
( 16062 , 'reduced')
( 16062 , 'lowered')
( 16062 , 'decreased')
( 16062 , 'diminished')
( 16063 , 'wasting')
( 16063 , 'losing')
( 16064 , 'guidelines')
( 16064 , 'rules')
( 16065 , 'able')
( 16065 , 'capable')
( 16065 , 'in a position')
( 16066 , 'caused')
( 16066 , 'triggered')
( 16066 , 'brought on')
( 16066 , 'prompted')
( 16066 , 'brought about')
( 16066 , 'induced')
( 16066 , 'precipitated')
( 16067 , 'closer')
( 16067 , 'nearer')
( 16068 , 'notice')
( 16068 , 'discover')
( 16068 , 'observe')
( 16068 , 'detect')
( 16068 , 'become aware of')
( 16068 , 'realize')
( 16069 , 'cheap')
( 16069 , 'inexpensive')
( 16069 , 'low-cost')
( 16069 , 'low priced')
( 16069 , 'affordable')
( 16069 , 'low-priced')
( 16069 , 'low cost')
( 16070 , 'coastline')
( 16070 , 'shoreline')
( 16071 , 'companies')
( 16071 , 'firms')
( 16071 , 'businesses')
( 16071 , 'organizations')
( 16071 , 'corporations')
( 16072 , 'person')
( 16072 , 'individual')
( 16072 , 'man or woman')
( 16072 , 'character')
( 16073 , 'purifier')
( 16073 , 'cleanser')
( 16073 , 'cleaner')
( 16074 , 'military')
( 16074 , 'army')
( 16074 , 'navy')
( 16075 , 'pictures')
( 16075 , 'photos')
( 16075 , 'pics')
( 16075 , 'images')
( 16075 , 'photographs')
( 16075 , 'portraits')
( 16075 , 'pix')
( 16075 , 'graphics')
( 16075 , 'snap shots')
( 16076 , 'vegetables')
( 16076 , 'greens')
( 16076 , 'veggies')
( 16077 , 'suggestions')
( 16077 , 'ideas')
( 16077 , 'recommendations')
( 16077 , 'strategies')
( 16078 , 'protect')
( 16078 , 'guard')
( 16078 , 'safeguard')
( 16078 , 'defend')
( 16078 , 'shield')
( 16078 , 'look after')
( 16078 , 'preserve')
( 16079 , 'teach')
( 16079 , 'train')
( 16079 , 'coach')
( 16079 , 'instruct')
( 16079 , 'educate')
( 16080 , 'infection')
( 16080 , 'contamination')
( 16080 , 'illness')
( 16081 , 'guest')
( 16081 , 'visitor')
( 16082 , 'effects')
( 16082 , 'outcomes')
( 16082 , 'results')
( 16082 , 'consequences')
( 16083 , 'easily')
( 16083 , 'effortlessly')
( 16083 , 'simply')
( 16083 , 'conveniently')
( 16083 , 'comfortably')
( 16083 , 'without difficulty')
( 16083 , 'readily')
( 16083 , 'with ease')
( 16083 , 'quite simply')
( 16083 , 'without problems')
( 16083 , 'effectively')
( 16083 , 'with no trouble')
( 16084 , 'comparing')
( 16084 , 'evaluating')
( 16085 , 'thousands')
( 16085 , 'hundreds')
( 16085 , '1000''s')
( 16085 , 'hundreds of thousands')
( 16085 , '1000s')
( 16085 , 'hundreds and hundreds')
( 16085 , 'countless numbers')
( 16085 , 'enormous quantities')
( 16086 , 'furniture')
( 16086 , 'furnishings')
( 16086 , 'fixtures')
( 16087 , 'role')
( 16087 , 'position')
( 16087 , 'function')
( 16088 , 'computer')
( 16088 , 'pc')
( 16088 , 'laptop')
( 16089 , 'provided')
( 16089 , 'supplied')
( 16089 , 'offered')
( 16089 , 'furnished')
( 16090 , 'combined')
( 16090 , 'mixed')
( 16091 , 'internal')
( 16091 , 'inner')
( 16092 , 'car')
( 16092 , 'vehicle')
( 16092 , 'automobile')
( 16092 , 'auto')
